entry,at,order
"-- starting hand #76 (id: flic2xafskej)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T04:08:39.097Z,176525331909700
"-- ending hand #75 --",2025-12-09T04:08:33.093Z,176525331309302
"""Nate Higgers @ s9p1qZMXYl"" collected 80000 from pot with Pair, 4's (combination: 4♣, 4♦, A♣, K♠, 10♥)",2025-12-09T04:08:33.093Z,176525331309301
"""failing235 @ -b3KrGCTsz"" collected 80000 from pot with Pair, 4's (combination: 4♣, 4♦, A♣, K♠, 10♥)",2025-12-09T04:08:33.093Z,176525331309300
"River: 4♣, 10♥, K♠, 4♦ [A♣]",2025-12-09T04:08:29.090Z,176525330909000
"Turn: 4♣, 10♥, K♠ [4♦]",2025-12-09T04:08:25.087Z,176525330508700
"Flop:  [4♣, 10♥, K♠]",2025-12-09T04:08:21.060Z,176525330106000
"""Nate Higgers @ s9p1qZMXYl"" shows a 8♠, 3♦.",2025-12-09T04:08:17.053Z,176525329705301
"""failing235 @ -b3KrGCTsz"" shows a 2♠, 9♦.",2025-12-09T04:08:17.053Z,176525329705300
"Some players choose to not run it twice.",2025-12-09T04:08:16.190Z,176525329619001
"""failing235 @ -b3KrGCTsz"" chooses to not run it twice.",2025-12-09T04:08:16.190Z,176525329619000
"Remaining players decide whether to run it twice.",2025-12-09T04:08:15.136Z,176525329513601
"""Nate Higgers @ s9p1qZMXYl"" calls 80000 and go all in",2025-12-09T04:08:15.136Z,176525329513600
"""failing235 @ -b3KrGCTsz"" raises to 80000 and go all in",2025-12-09T04:08:12.994Z,176525329299400
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T04:08:07.976Z,176525328797607
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T04:08:07.976Z,176525328797606
"Your hand is 8♠, 3♦",2025-12-09T04:08:07.976Z,176525328797605
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (80000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (80000)",2025-12-09T04:08:07.976Z,176525328797603
"The player ""Nate Higgers @ s9p1qZMXYl"" joined the game with a stack of 80000.",2025-12-09T04:08:07.976Z,176525328797602
"The player ""failing235 @ -b3KrGCTsz"" joined the game with a stack of 80000.",2025-12-09T04:08:07.976Z,176525328797601
